,User_ID,Game_id,Game_name,Rating
8684,144679568,72850,The Elder Scrolls V Skyrim,1.004023174160273
44751,48984158,303390,Dead Bits,2.269035532994924
9508,122658341,105600,Terraria,1.0869263283008053
18618,72989129,60,Ricochet,1.5660377358490578
23630,296979815,109600,Neverwinter,1.0756772417789358
25308,154230723,214560,Mark of the Ninja,1.308417825984438
54864,241776037,238460,BattleBlock Theater,1.0447498801342507
31087,143770130,220,HalfLife 2,2.7513320658169613
16430,88525821,284050,Sanitarium,5.0
6490,48666962,360380,Tiny Bridge Ratventure,1.0875912408759127
57781,224070533,346110,ARK Survival Evolved,1.0706829200108905
44695,148674157,383150,Dead Island Definitive Edition,1.0495956873315355
18152,258531019,301520,Robocraft,1.2242596134819634
19842,36546868,233450,Prison Architect,1.0035027603274318
31900,17495098,219990,Grim Dawn,1.314545454545455
727,35701646,22000,World of Goo,3.772234273318872
36404,49050405,39150,FINAL FANTASY VIII,1.5849738850944155
33150,188250158,265930,Goat Simulator,1.0194995125121853
3364,228045441,304930,Unturned,1.1901046196665184
1342,72842694,15620,Warhammer 40000 Dawn of War II,1.046804680468047
25035,170068207,307070,Memories of a Vagabond,2.0546623794212224
56528,120139965,217690,Anna Extended Edition,1.0304568527918785
20779,38990345,400,Portal,1.0404766076747878
18140,164695293,301520,Robocraft,1.2738605632873856
11766,111091837,440,Team Fortress 2,1.0024920353330011
21613,80189887,238960,Path of Exile,1.0078542255733591
22172,43913966,218620,PAYDAY 2,1.8889251445410884
57848,43684632,346110,ARK Survival Evolved,1.0002942669442656
52838,11731710,24740,Burnout Paradise The Ultimate Box,1.0277485810384688
27153,132840940,550,Left 4 Dead 2,1.0067863808052535
50343,110658990,219640,Chivalry Medieval Warfare,2.551205731005953
15075,81487543,8930,Sid Meiers Civilization V,1.9230214393120495
33324,99374297,214420,Gear Up,1.012974976830396
12065,294155812,440,Team Fortress 2,1.0000829142994072
37794,22301321,302270,Dungeon Defenders Eternity,2.274817136886102
40013,144736928,570,Dota 2,1.0402512171424465
4946,975449,34330,Total War SHOGUN 2,1.2100053928877332
46260,87832209,343630,CroNix,1.129032258064516
22937,108595389,298260,Only If,1.9073482428115016
19479,196498799,282440,Quake Live,2.882770870337477
44517,68532738,17470,Dead Space,1.830788026878436
52743,71527252,22340,Call of Cthulhu Dark Corners of the Earth,1.3114754098360653
4927,218734858,201270,Total War SHOGUN 2,1.2886781080480918
20845,54826284,205610,Port Royale 3,1.216276477146042
52911,61772065,225080,Brothers A Tale of Two Sons,1.2301255230125538
33021,87734805,227480,God Mode,3.4417177914110426
26464,46951849,550,Left 4 Dead 2,3.220658576586391
55153,65117175,107100,Bastion,1.0926522472771918
44771,74347105,221100,DayZ,3.814101617492149
19264,17995238,39120,RIFT,4.242034943473792
36074,151603712,22370,Fallout 3 Game of the Year Edition,1.01615476665337
48708,65341706,80,CounterStrike Condition Zero,1.20209842020984
34462,179733218,339610,Freestyle 2 Street Basketball,2.661072008662696
54929,106147454,209000,Batman Arkham Origins,2.09642381391536
53976,27279261,249650,Blackguards,1.1362489486963845
10479,153945772,440,Team Fortress 2,1.1386488308795846
10019,119619506,440,Team Fortress 2,1.6904987698166596
29033,55367062,204530,Infested Planet,3.7104247104247103
43231,11940338,219740,Dont Starve,2.360060303191044
56918,27262175,10680,Aliens vs Predator,1.0464912280701757
39461,282567672,570,Dota 2,1.1153592508225088
14344,82686146,34830,Sniper Ghost Warrior,5.0
30518,40754921,340,HalfLife 2 Lost Coast,1.0780911062906724
18853,33865373,20500,Red Faction Guerrilla Steam Edition,5.0
54680,36546868,24960,Battlefield Bad Company 2,2.2119905369388784
43292,138941587,219740,Dont Starve,1.1918534855802785
45441,101695880,251170,Damned,2.397590361445783
31,138941587,206690,iBomber Defense Pacific,1.2234636871508373
36450,10218563,39140,FINAL FANTASY VII,1.21879753951981
52287,19696244,42700,Call of Duty Black Ops,2.35134749411289
40346,257056644,570,Dota 2,1.0243585363364134
24845,30246419,286690,Metro 2033 Redux,1.2431570847532156
532,53097340,200170,Worms Revolution,2.084179104477612
18769,80128229,228300,Remember Me,2.30388219544846
44813,64319625,221100,DayZ,1.9152465617216496
26089,24632218,251990,Long Live The Queen,1.934240362811792
16359,180901075,218680,Scribblenauts Unlimited,1.14804116266474
35265,101339059,22380,Fallout New Vegas,4.418859427354057
18036,199659716,301520,Robocraft,2.451355451487369
56279,170095814,304030,ArcheAge,1.3773992971073272
13737,49462664,18300,Spectraball,5.0
54896,66438889,306640,Battle Academy 2 Eastern Front,5.0
5309,9823354,10500,Total War EMPIRE Definitive Edition,2.481158138495409
1671,86055705,230410,Warframe,1.1234810486581543
52502,98686446,42700,Call of Duty Black Ops,1.0901786351418803
33859,209880903,4000,Garrys Mod,1.0180913941192808
4960,80363319,34330,Total War SHOGUN 2,1.1686387716905124
43175,243664576,322330,Dont Starve Together,1.0944928392145292
2588,170460109,212160,Vindictus,3.3105294467578825
17483,165101762,252490,Rust,1.4510025989669582
16402,224929163,258760,Scania Truck Driving Simulator,1.306122448979591
26176,113546110,208090,Loadout,1.5663666238034013
7763,131348564,291010,The Hat Man Shadow Ward,1.1939393939393934
22837,79243080,102600,Orcs Must Die,2.756527875793931
52810,17567828,24740,Burnout Paradise The Ultimate Box,1.2051713264662602
49025,111442295,10,CounterStrike,1.6680743715044797
38707,183294889,570,Dota 2,1.809781879027133
16917,65064340,206420,Saints Row IV,1.2209910261412418
4772,48149238,34330,Total War SHOGUN 2,4.453605304063699
10838,76420334,440,Team Fortress 2,1.048279154020792
21015,40212239,218230,PlanetSide 2,1.624837732583298
25949,10599862,235460,METAL GEAR RISING REVENGEANCE,1.622152395915161
30692,53901705,380,HalfLife 2 Episode One,3.681204076795448
40806,216434385,570,Dota 2,1.0127910736299572
32095,199693353,271590,Grand Theft Auto V,2.7219722346853
18639,103731895,274560,Revolution Ace,1.2208588957055215
24058,135400225,48700,Mount Blade Warband,1.001337416653743
11667,122658341,440,Team Fortress 2,1.0043645165952384
23432,194534689,224260,No More Room in Hell,1.0333030578262226
54786,92595907,238460,BattleBlock Theater,3.576314527728944
47190,9740704,273110,CounterStrike Nexon Studio,1.040712973536566
27744,32644336,110800,LA Noire,1.1532065457762068
36281,23717586,212680,FTL Faster Than Light,1.822523533983937
45309,11300897,50620,Darksiders,2.8008368200836817
41489,209509599,570,Dota 2,1.0050529467407392
55269,112986636,242920,Banished,1.0003040668947158
56524,62990992,217690,Anna Extended Edition,1.5279187817258886
43112,43913966,322330,Dont Starve Together,1.7470840100398646
27592,120523185,48000,LIMBO,1.052330335241208
24417,199693353,17410,Mirrors Edge,1.2309711286089229
7644,54194546,251150,The Legend of Heroes Trails in the Sky,1.614916286149163
33245,148264060,322170,Geometry Dash,1.4216133942161338
627,86055705,233840,Worms Clan Wars,1.420560747663551
40179,83572990,570,Dota 2,1.030888943353086
41441,205129403,570,Dota 2,1.0054632618256392
41825,46585543,570,Dota 2,1.0028921712737402
22131,64514291,218620,PAYDAY 2,2.4648461797305976
24344,88035166,299740,Miscreated,5.0
44304,9128105,18500,Defense Grid The Awakening,3.306430272558878
54568,81170946,200910,Before the Echo,1.7499999999999991
1931,141118871,291480,Warface,3.3188653289692125
16971,129873202,9480,Saints Row 2,2.8435052747394987
20531,143643478,400,Portal,2.3099702120203265
45086,29777760,300,Day of Defeat Source,1.0637150589839486
13103,14544587,207150,Stellar Impact,5.0
41584,170384573,570,Dota 2,1.0042665434499147
1378,45617627,15620,Warhammer 40000 Dawn of War II,1.0011614064632273
9558,165101762,105600,Terraria,1.0317710454797395
6150,163432200,203160,Tomb Raider,1.007411361994789
11128,177362386,440,Team Fortress 2,1.0214517718037164
13260,151229648,211820,Starbound,3.8408031138001455
14622,45617627,238090,Sniper Elite 3,2.011617515638965
44226,184987886,224600,Defiance,1.7589285714285716
47295,87201181,730,CounterStrike Global Offensive,4.069930563903393
2578,17530772,71390,Virtua Tennis 4,5.0
16460,11403772,210770,Sanctum 2,1.6368421052631583
10129,21061921,440,Team Fortress 2,1.440903696768587
38942,182469805,570,Dota 2,1.4203818619544355
22211,53097340,218620,PAYDAY 2,1.5644597171379324
43486,7440594,227260,DisplayFusion,3.0
13398,17995238,220660,StarDrive,2.2222222222222223
9597,306971738,105600,Terraria,1.0139824651606948
41283,14551726,570,Dota 2,1.006861266846815
31228,554278,220,HalfLife 2,1.214163321831795
17022,93275329,9480,Saints Row 2,1.0005177658403976
45856,262861632,317470,Cubic Castles,1.0111940298507465
14925,307846753,343090,SimpleRockets,5.0
32398,107743243,12120,Grand Theft Auto San Andreas,1.269285626961159
49139,35394734,10,CounterStrike,1.0759743514688926
41327,154817899,570,Dota 2,1.0064770293839884
18068,30440303,301520,Robocraft,1.8115559659653075
3079,161117453,304930,Unturned,1.85810491786984
23607,141721383,109600,Neverwinter,1.2088367376502958
15603,47457723,3900,Sid Meiers Civilization IV,2.3860973704764383
47359,184694766,730,CounterStrike Global Offensive,3.2910392364136127
50439,142750305,219640,Chivalry Medieval Warfare,1.1300575118555134
33170,94299484,224500,Gnomoria,1.5266501941404864
1066,58618147,56437,Warhammer 40000 Dawn of War II Retribution,3.030379035656239
13323,62633395,211820,Starbound,1.3202435546649207
6285,185743629,15300,Tom Clancys Ghost Recon,1.458778734754544
26108,21061921,209830,Lone Survivor The Directors Cut,1.302325581395348
40262,231450817,570,Dota 2,1.0272837121006044
45940,166863117,108800,Crysis 2 Maximum Edition,1.7335617555881884
56110,115784259,33930,Arma 2 Operation Arrowhead,1.001580025155662
21264,24469287,255870,PixelJunk Shooter,1.7295597484276728
44518,69954842,17470,Dead Space,1.7721441661576054
44542,77980915,17470,Dead Space,1.1270616982284665
26269,20464587,208090,Loadout,1.0120017145306517
2702,122798021,242860,Verdun,1.0641447368421053
34212,202140438,255220,GRID Autosport,1.0957159397915888
4255,149920224,304050,Trove,1.1735845923958157
16641,99264709,55230,Saints Row The Third,4.0625946185987365
28066,52731290,1250,Killing Floor,1.5512599282838306
23858,46607365,392470,NOBUNAGAS AMBITION Sphere of Influence,5.0
29185,174002551,250400,How to Survive,4.478927203065134
8405,149810726,72850,The Elder Scrolls V Skyrim,1.2881281096018735
57320,13190476,108710,Alan Wake,2.3634449760765563
40608,167815968,570,Dota 2,1.0166733796170324
22348,189123038,218620,PAYDAY 2,1.071541465702719
18763,7440594,228300,Remember Me,3.757697456492637
36600,11978743,21100,FEAR 3,1.016569200779727
38064,49462664,47810,Dragon Age Origins Ultimate Edition,1.3345739471106768
10368,102927775,440,Team Fortress 2,1.1960301324383191
14390,47384202,34830,Sniper Ghost Warrior,1.0155597176199405
41316,228919399,570,Dota 2,1.0064770293839884
57061,21979395,630,Alien Swarm,1.4781395348837187
7509,49050405,233370,The Raven Legacy of a Master Thief,2.065963060686016
49063,170848836,10,CounterStrike,1.3004325154493754
2070,163712958,291480,Warface,1.0197334092310597
33695,165065938,4000,Garrys Mod,1.127017835990943
5878,80128229,41500,Torchlight,1.170288353366097
21440,33865373,3540,Peggle Nights,1.6135693215339235
32806,48984158,12100,Grand Theft Auto III,1.3373493975903608
47755,156879739,730,CounterStrike Global Offensive,1.3600762892398195
24243,154296520,39000,Moonbase Alpha,1.4427284427284426
11529,8542204,440,Team Fortress 2,1.006276151832206
13871,49462664,107200,Space Pirates and Zombies,2.332495812395311
44312,975449,18500,Defense Grid The Awakening,1.999206139190262
14764,12610800,202170,Sleeping Dogs,1.1898367160079362
13301,7431946,211820,Starbound,1.7281976184053334
35010,48798067,233270,Far Cry 3 Blood Dragon,1.5147143681477204
41348,183015196,570,Dota 2,1.0061543188107485
52880,10253354,15390,Brothers in Arms Hells Highway,1.2342342342342332
1578,197518122,230410,Warframe,1.462957901501777
8259,7015471,72850,The Elder Scrolls V Skyrim,1.9120304474723264
14310,108560573,34870,Sniper Ghost Warrior 2,4.1048487360132615
55060,212466515,338180,Batla,1.5298013245033109
48316,88883891,730,CounterStrike Global Offensive,1.0147447916731158
30907,31187179,320,HalfLife 2 Deathmatch,1.0616229901155432
33521,209772097,4000,Garrys Mod,1.533354248239831
15953,51557405,2500,Shadowgrounds,2.347319347319348
25012,46055854,64000,Men of War Assault Squad,1.01873610670054
51262,56899274,115300,Call of Duty Modern Warfare 3,1.0847968256300915
19197,78309377,38720,RUSH,1.0983606557377046
41442,183882260,570,Dota 2,1.0054632618256392
41972,189827182,570,Dota 2,1.0022463426644288
20699,68325099,400,Portal,1.2355002628351075
3009,189918261,304930,Unturned,2.292810814840596
48286,119909634,730,CounterStrike Global Offensive,1.0187191190302922
23184,47457723,104900,ORION Prelude,1.007860476541398
51187,110248234,115300,Call of Duty Modern Warfare 3,1.6271584980527538
5612,173344308,248570,Toribash,1.0571120689655182
43226,85458882,219740,Dont Starve,2.623607582567911
33212,31669242,223220,Giana Sisters Twisted Dreams,1.118665018541408
48258,146007471,730,CounterStrike Global Offensive,1.0231259503624162
12794,129117376,212800,Super Crate Box,1.4256880733944968
4106,168244631,281410,Ubersoldier II,5.0
3849,278209338,304930,Unturned,1.003603290176704
14526,150305902,63380,Sniper Elite V2,1.0600281720663132
38865,129371925,570,Dota 2,1.5202347067479671
19621,69009454,3830,Psychonauts,1.177285318559556
40237,240835613,570,Dota 2,1.0283219274296402
40030,178893007,570,Dota 2,1.0391029868452613
1510,157341587,230410,Warframe,4.26676663736491
48430,6928806,730,CounterStrike Global Offensive,1.0049149305577003
28715,36557643,94200,Jamestown,1.2911877394636004
39663,33282871,570,Dota 2,1.0753545487012777
29180,120139965,339800,HuniePop,1.031700288184437
23789,77214425,4920,Natural Selection 2,1.024330705510423
14180,33013552,1840,Source Filmmaker,1.0093188373641002
1469,46951849,58610,Wargame European Escalation,4.020446980504042
52633,50032397,42700,Call of Duty Black Ops,1.0020931947384653
45625,161384593,24200,DC Universe Online,1.2004834534836473
9127,101690993,113200,The Binding of Isaac,1.0098202671259218
17452,184584285,252490,Rust,2.0095513672399257
26803,86055705,550,Left 4 Dead 2,1.2381067188146426
40146,255957600,570,Dota 2,1.0325041260706294
55671,303467308,244210,Assetto Corsa,1.0889516413695728
36102,23386002,22300,Fallout 3,2.3781902552204173
2290,200036280,236390,War Thunder,1.0517049563330945
37300,81591317,359320,Elite Dangerous,1.040070041128803
51422,55745376,10180,Call of Duty Modern Warfare 2,1.973697460573833
16305,48080423,269770,Secrets of Grindea,5.0
15035,71777065,8930,Sid Meiers Civilization V,2.457857190799959
38993,181850506,570,Dota 2,1.365940751235168
38052,102263723,47810,Dragon Age Origins Ultimate Edition,1.8548481880509315
40224,151330875,570,Dota 2,1.0290125769519023
30466,42771635,340,HalfLife 2 Lost Coast,1.5553145336225511
43347,156565178,219740,Dont Starve,1.0158575057930168
34536,168053527,339610,Freestyle 2 Street Basketball,1.0056307525717338
36707,44314169,21120,FEAR,1.0170697012802323
52769,99264709,24740,Burnout Paradise The Ultimate Box,3.703384486020601
58171,80363319,251570,7 Days to Die,1.0771439087228574
28562,178038549,8190,Just Cause 2,1.0702241503976868
23873,205058166,333600,NEKOPARA Vol 1,1.0361990950226234
27331,44426653,500,Left 4 Dead,1.1836048915114512
28865,43360645,222880,Insurgency,1.399810107461914
34095,53091150,239820,Game Dev Tycoon,1.599930723934881
25380,182229935,366800,Mainland,5.0
4884,103624897,34330,Total War SHOGUN 2,1.6173270310566887
48817,37466720,80,CounterStrike Condition Zero,1.028202002820199
57004,172381385,630,Alien Swarm,2.121594684385383
16988,48668697,9480,Saints Row 2,1.2244514918128266
17978,59005471,107800,Rochard,2.4219269102990038
37992,47384303,33770,Drakensang The River of Time,5.0
28241,198346312,220200,Kerbal Space Program,1.7682069547286527
48534,183315077,730,CounterStrike Global Offensive,1.0010992293002174
22767,134967717,201790,Orcs Must Die 2,1.577233741360646
359,58931437,200510,XCOM Enemy Unknown,1.413248268603577
57077,36439985,630,Alien Swarm,1.3444518272425263
31097,39037163,220,HalfLife 2,2.545994413538952
52434,31669242,42700,Call of Duty Black Ops,1.2406983658809212
10983,218600642,440,Team Fortress 2,1.0327926054263925
12362,115487966,355840,Survarium,1.1103537812398594
53098,298884520,291550,Brawlhalla,1.0244221543829046
51557,58662652,10180,Call of Duty Modern Warfare 2,1.2729809083962382
14750,28472068,202170,Sleeping Dogs,1.6303474235719009
9194,150789931,237990,The Banner Saga,1.1389783709157857
50252,7907686,255710,Cities Skylines,1.5164313382481565
28031,99264709,1250,Killing Floor,2.536684167370366
50560,38049880,39670,Chaser,1.894117647058824
8305,154730370,72850,The Elder Scrolls V Skyrim,1.649931654001381
39864,163690628,570,Dota 2,1.0522554800187334
10499,258482885,440,Team Fortress 2,1.1301777532873456
3169,185259386,304930,Unturned,1.5304043140081085
10648,120181402,440,Team Fortress 2,1.084998672795411
27385,93341815,500,Left 4 Dead,1.0421713876603684
11783,153431729,440,Team Fortress 2,1.0024920353330011
12145,293042025,330830,Tales from the Borderlands,5.0
11235,253421464,440,Team Fortress 2,1.0161890169646068
13857,30061970,275670,Space Run,1.8743169398907105
2925,235692659,304930,Unturned,3.044034690986806
11512,65173746,440,Team Fortress 2,1.007289548825292
24022,79073449,48700,Mount Blade Warband,1.054427042952394
24749,161896440,286690,Metro 2033 Redux,3.351104759810927
1248,89479298,20570,Warhammer 40000 Dawn of War II Chaos Rising,1.0012662234884453
26270,264500948,208090,Loadout,1.0120017145306517
47009,10144504,240,CounterStrike Source,1.0004996070798478
29784,137334839,227940,Heroes Generals,1.3144718896802532
46799,11731710,240,CounterStrike Source,1.0232317292129638
28997,118852041,242700,Injustice Gods Among Us Ultimate Edition,1.2918807810894135
13911,118541865,315260,Space Hack,2.8181818181818183
31915,127555883,290790,Grey Goo,1.160493827160495
14083,136135322,213670,South Park The Stick of Truth,1.6609364669111053
33441,167167647,4000,Garrys Mod,2.029841951682545
14733,13190476,202170,Sleeping Dogs,2.446462180171931
53515,108007732,49520,Borderlands 2,1.1224109864610288
2228,241862248,236390,War Thunder,1.1845969850364355
27425,298950,500,Left 4 Dead,1.0042032817930946
32731,208616727,12210,Grand Theft Auto IV The Complete Edition,1.026545462305016
49360,4603800,10,CounterStrike,1.0028124304061294
13563,120523185,210170,Spirits,1.0509554140127388
8889,48798067,204240,The Bridge,1.5959367945823928
14075,58761868,213670,South Park The Stick of Truth,1.9400733305283429
41321,152078939,570,Dota 2,1.0064770293839884
45508,10599862,9050,DOOM 3,1.1244695898161243
10306,245859173,440,Team Fortress 2,1.2383624886496674
39872,136561410,570,Dota 2,1.0522554800187334
19221,129925351,220700,RPG Maker VX Ace,1.4535621036926525
49641,36557643,238430,Contagion,1.0620620620620629
49433,1268792,10,CounterStrike,1.0007180039490282
54855,65398650,238460,BattleBlock Theater,1.1080389963241175
7329,77214425,231160,The Swapper,1.1941747572815529
28825,190502181,222880,Insurgency,2.6850373311466926
54318,33452361,7670,BioShock,2.2306279838413507
44391,40212239,203810,Dear Esther,3.9034267912772576
55810,59157389,107410,Arma 3,1.3399942633138928
38769,113667989,570,Dota 2,1.680180171920795
52451,32847394,42700,Call of Duty Black Ops,1.190328488856112
6898,298950,20920,The Witcher 2 Assassins of Kings Enhanced Edition,2.625295762529576
19886,62990992,235360,Prime World Defenders,5.0
13827,138941587,92800,SpaceChem,1.3471484236627695
35694,91085389,22490,Fallout New Vegas,1.0249175818619451
37894,126595775,65800,Dungeon Defenders,1.015617630103247
34803,80511960,265630,Fistful of Frags,1.0453848512726176
39045,219446813,570,Dota 2,1.316258806545397
40174,202139066,570,Dota 2,1.0314659107415918
6319,154940949,15300,Tom Clancys Ghost Recon,1.0929285525217338
56485,51822361,48240,Anno 2070,1.44966318521723
22594,199693353,238320,Outlast,1.382098926982466
51970,172976494,209160,Call of Duty Ghosts,1.0213132737815411
26131,126425648,208090,Loadout,2.625946563794828
31842,53875128,323320,Grow Home,1.0812834224598924
19870,123625432,13600,Prince of Persia The Sands of Time,1.0207253886010363
52672,109373866,7940,Call of Duty 4 Modern Warfare,3.584736067984965
18103,186099130,301520,Robocraft,1.4779807840292016
45178,1129452,30,Day of Defeat,5.0
46751,25490518,240,CounterStrike Source,1.0396438217859916
34646,51085779,388090,Five Nights at Freddys 4,5.0
3649,156965566,304930,Unturned,1.032081707711053
37462,71510748,202730,Dynamite Jack,2.0000000000000004
13607,45292137,99900,Spiral Knights,1.0166052442072275
11748,131377772,440,Team Fortress 2,1.0034455497764956
48920,96902425,80,CounterStrike Condition Zero,1.0038718003871772
48999,95461199,10,CounterStrike,2.201512575124143
31617,58905429,209080,Guns of Icarus Online,1.0819606267577342
10253,195006426,440,Team Fortress 2,1.2825143530986054
35731,132418423,22380,Fallout New Vegas,1.0111913381739286
27574,55426012,48000,LIMBO,1.371218315617333
21149,61779218,218230,PlanetSide 2,1.0162828341106125
49739,135400225,231430,Company of Heroes 2,2.160102301790282
13264,80494893,211820,Starbound,3.52248641566149
44516,17530772,17470,Dead Space,1.891875381795968
13480,236434806,212070,Star Conflict,1.565326633165829
56715,106760673,239200,Amnesia A Machine for Pigs,1.5517241379310347
42327,48063019,570,Dota 2,1.0010757019108016
18484,12610800,248820,Risk of Rain,1.0197948098974048
4498,65145468,57690,Tropico 4,1.0542105872813647
50400,101687527,219640,Chivalry Medieval Warfare,1.3347795378871958
9864,197966478,440,Team Fortress 2,2.604306476585634
32395,22371742,12120,Grand Theft Auto San Andreas,1.3048208973470756
25639,17530772,49470,Magic The Gathering Duels of the Planeswalkers 2012,1.2728492048285096
21754,101690993,239030,Papers Please,1.019760056457303
2658,180901075,300220,Victim of Xen,3.630769230769231
50228,257528104,255710,Cities Skylines,2.2397850805947765
7007,53091150,20920,The Witcher 2 Assassins of Kings Enhanced Edition,1.0237224595151029
15697,59925638,65980,Sid Meiers Civilization Beyond Earth,3.3329795514045144
4088,102825821,45760,Ultra Street Fighter IV,1.0043826610970346
47234,38317154,273110,CounterStrike Nexon Studio,1.0109229929000527
20218,10162301,620,Portal 2,1.402452534248828
13749,247313879,50300,Spec Ops The Line,2.209584880188997
57921,161384593,113400,APB Reloaded,1.0389295457497931
56686,43955374,57300,Amnesia The Dark Descent,1.0271635033954376
22040,231255153,24240,PAYDAY The Heist,1.0364597093791257
56410,58345543,91200,Anomaly Warzone Earth,3.389677419354839
33477,201895745,4000,Garrys Mod,1.7647857328160952
50075,270356700,363970,Clicker Heroes,1.0521279391531544
53862,62990992,263300,BlazBlue Calamity Trigger,2.6393442622950816
1663,119619506,230410,Warframe,1.1344433528103854
50622,71510748,200900,Cave Story,1.0251396648044682
54624,105384518,284160,BeamNGdrive,2.1516626115166257
37559,46637811,236090,Dust An Elysian Tail,4.046483909415971
40021,94088853,570,Dota 2,1.0396730273654031
31566,126191291,209080,Guns of Icarus Online,3.730413820811571
52736,35047392,2620,Call of Duty,2.8426966292134828
16942,42928788,206420,Saints Row IV,1.0343347639485
11462,152291766,440,Team Fortress 2,1.00817627119425
56961,48798067,630,Alien Swarm,3.3585382059800666
23088,172518437,224480,Octodad Dadliest Catch,1.2672064777327932
36699,13565651,21110,FEAR,1.0512091038406863
33702,19085114,4000,Garrys Mod,1.1199630771458469
57581,118693973,346900,AdVenture Capitalist,1.0882706791700305
37136,138941587,285840,Enemy Mind,2.2830188679245285
56884,111498455,10680,Aliens vs Predator,1.6219298245614042
43002,151515141,570,Dota 2,1.0000273000106268
159,43913966,215690,Zeno Clash 2,1.708333333333333
30392,48334326,340,HalfLife 2 Lost Coast,2.7852494577006515
8105,90272527,72850,The Elder Scrolls V Skyrim,3.715405568964568
10008,149368095,440,Team Fortress 2,1.7271653155666398
21318,303789064,409670,Pink Hour,5.0
27348,53826748,500,Left 4 Dead,1.1204632847954388
6098,205829374,203160,Tomb Raider,1.188926922714573
45511,102825821,230050,DLC Quest,5.0
8862,7440594,65930,The Bureau XCOM Declassified,5.0
43297,81943620,219740,Dont Starve,1.1612551997543203
30008,112944877,227940,Heroes Generals,1.0020609183209626
21734,211544205,239030,Papers Please,1.239943542695836
36892,31187179,236850,Europa Universalis IV,1.0016395122451098
54157,127628725,8870,BioShock Infinite,1.2272641023555892
54035,34582304,8870,BioShock Infinite,3.2250413379957177
10656,7203603,440,Team Fortress 2,1.0820920659652304
46678,39524248,240,CounterStrike Source,1.0826724815379571
43991,20704366,238010,Deus Ex Human Revolution Directors Cut,2.3105134474327644
15587,33865373,3900,Sid Meiers Civilization IV,5.0
436,42061089,200510,XCOM Enemy Unknown,1.0016112056755988
29223,48798067,250400,How to Survive,1.2063856960408694
7939,252983257,242760,The Forest,1.003775365738556
54075,34177747,8870,BioShock Infinite,2.2604700333414667
48481,299938570,730,CounterStrike Global Offensive,1.00252562493106
4118,43684632,7530,Two Worlds II Castle Defense,5.0
2372,158891314,236390,War Thunder,1.0054235968181628
19944,102825821,33980,Pound of Ground,5.0
28914,48798067,222880,Insurgency,1.045228949980579
21912,148246305,24240,PAYDAY The Heist,2.402642007926024
33833,148362155,4000,Garrys Mod,1.025870130496941
22755,106806146,201790,Orcs Must Die 2,2.00857690065784
31160,100096071,220,HalfLife 2,1.7018285097293613
32623,115037563,12210,Grand Theft Auto IV The Complete Edition,1.6309455220536455
57325,123101539,108710,Alan Wake,2.0928229665071787
25524,121865430,42910,Magicka,1.1782062518258851
25309,71510748,214560,Mark of the Ninja,1.2150436217873142
42616,182329183,570,Dota 2,1.00055455693205
52636,87734805,42700,Call of Duty Black Ops,1.0015223234461552
54136,137508279,8870,BioShock Infinite,1.4008565774850248
46517,54992167,240,CounterStrike Source,1.4032453643228495
35479,121497634,22380,Fallout New Vegas,1.490504216977127
28756,14126086,327670,Ironcast,5.0
